Product Name,Build Number,Date,KB
Exchange 2013 CU9,15.0.1104.5,6/16/2015,KB3049849
Exchange 2013 CU10,15.0.1130.7,9/14/2015,KB3078678
Exchange 2013 CU11,15.0.1156.6,12/10/2015,KB3099522
Exchange 2013 CU12,15.0.1178.4,3/15/2016,KB3108023
Exchange 2013 CU13,15.0.1210.3,6/20/2016,KB3135743
Exchange 2013 CU14,15.0.1236.3,9/14/2016,KB3152589
Exchange 2013 CU15,15.0.1263.5,12/12/2016,KB3197044
Exchange 2013 CU16,15.0.1293.2,3/20/2017,KB4012112
Exchange 2013 CU17,15.0.1320.4,6/24/2017,KB4012114
Exchange 2013 CU18,15.0.1347.2,9/16/2017,KB4022631
Exchange 2013 CU19,15.0.1365.1,12/17/2017,KB4037224
Exchange 2013 CU20,15.0.1367.3,3/15/2018,KB4055221
Exchange 2016 Preview,15.1.225.16,06/22/2015,
Exchange 2016 RTM,15.1.225.42,9/28/2015,
Exchange 2016 CU1,15.1.396.30,3/15/2016,KB3134844
Exchange 2016 CU2,15.1.466.34,6/20/2016,KB3135742
Exchange 2016 CU3,15.1.544.27,9/14/2016,KB3152589
Exchange 2016 CU4,15.1.669.32,12/12/2016,KB3177106
Exchange 2016 CU5,15.1.845.34,3/20/2017,KB4012106
Exchange 2016 CU6,15.1.1034.26,6/24/2017,KB4012108
Exchange 2016 CU7,15.1.1261.35,9/16/2017,KB4018115
Exchange 2016 CU8,15.1.1415.2,12/17/2017,KB4035145
Exchange 2016 CU9,15.1.1466.3,3/15/2018,KB4055222
